Original_Target,Count,Examples,Suggested_Simplified_Target,Target_Type,Notes
Anthracnose Fruit Rot,91,A23089 Fungicide; A225.09; A-Zox 50WDG; A225.13; A21461 Crop,,,
Anthracnose Fruit Rot (Ripe Rot),1,Ziram 76DF Fungicide,,,
Anthracnose Fruit Rot and Leaf Spot,5,BioLink Fungicide PLUS,,,
Anthracnose Fruit rot (Colletotrichum acutatum),1,Captan 4L,,,
Anthracnose Leaf Blight,1,ARMOUR-Zen 15%,,,
Anthracnose Leaf and Fruit Rot,1,Endorse Water Dispersible Granules,,,
Anthracnose blue mold,1,NEU1140F Copper Soap,,,
Anthracnose fruit rot,46,BC18-WG; A225.05; CX-9030; Captan 50-W; Cueva 2.4 Copper Soap,,,
Anthracnose fruit rot (Colletotrichum spp.),4,Drexel Kaptan 50W; DREXEL 80% CAPTAN; DREXEL CAPTAN 80 EDF; Drexel Captan 4L Fungicide,,,
Anthracnose leaf & fruit rot,3,VEGGIETURBO 5SC,,,
Anthracnose leaf and Fruit rot,5,ENDORSE Water Dispersible Granules,,,
Anthracnose leaf and fruit spot,3,NEU1140F Copper Soap,,,
Anthracnose leaf spot,2,Postiva,,,
Anthracnose ripe rot,2,Tilt Bravo SE; Echo 720,,,
Anthracnose rot,1,Carb-O-Nator,,,
Anthracnose spp.,4,Fungi-Phite,,,
Ants,455,Adama Lambda CY VC 223; A115.04; A115.02; A145.01; Actylis Lambda-Cy Insecticide,,,
Ants (Excluding Carpenter,3,MGK 74731,,,
Ants (except Fire Ants,16,Synergy Brand,,,
Ants (except carpenter ants,5,Drexel Carbaryl 2% Bait/Granule,,,
Ants (except fire,1,Agri-Flex Miticide/Insecticide,,,
Ants (except fire ants,4,"GET-A-BUG® Snail, Slug & Insect Killer",,,
Ants (except harvester ants,6,The Andersons 8.0% Granular Carbaryl,,,
Ants (excluding Carpenter,8,ACENTHRIN INSECTICIDE; AVATAR® PLX,,,
Ants (excluding Fire,3,Diafil® 610,,,
Ants (excluding Harvester,2,Lambdastar Insecticide,,,
Ants (excluding carpenter,21,Real-Kill Rose & Garden Insect Spray II,,,
Ants (excluding fire,1,Acephate® 97UP Insecticide,,,
Ants (excluding fire and Pharaoh ants),2,Envi EC-X Emulsifiable Concentrate Insecticide; LYNX EC 1.4,,,
Ants (excluding fire ants,22,Sulfur/Pyrethrins Fungicide/Insecticide RTU; Sevin 5 Bait,,,
Ants (including Imported fire ants and harvester ants),1,Drexel Acephate 75 WSP,,,
Ants (on foliage),6,LEVERAGE 360 Insecticide; Tombstone Helios; A177.04; HM-1508 INSECTICIDE,,,
Apache cicada,6,MGK 74731; MGK® 74721,,,
Aphanomyces,3,TERRASTAT 22-S; Perasan OG; TERRASTAT 1522-S,,,
Aphanomyces spp.,2,QST 713 FS; SERENADE ASO,,,
Aphid,180,AVATAR® PLX; ACENTHRIN INSECTICIDE; A177.04; BONIDE BONTOX MULTI-PURPOSE INSECTICIDE CONCENTRATE; Ax Zeta-Cyper 915,,,
Aphid (eggs),33,BVA Spray 13E; LESCO Horticultural Oil Plus; SPRAY OIL 470; GLACIAL SPRAY FLUID; RTSA Horticultural Oil,,,
Aphid (suppression),4,Tetraniliprole SC 200 Insecticide AG; F4260-1 Insecticide,,,
Aphid Eggs,39,Liberty 440 Supreme Spray Oil; BONIDE® HORTICULTURAL AND DORMANT SPRAY OIL; BIOCOVER UL; BIOCOVER LS; Leaf Life Gavicide Green 415,,,
Aphid Species,2,F6126 EW Insecticide; HERO Insecticide,,,
Aphid eggs,42,Damoil Supreme; ClearGuard™ Horticultural Spray Oil; BioCover SS; BioCover MLT; Damoil Dormant & Summer Spray Oil,,,
Aphid species,145,Avalaire Lambda-Cy 1 EC; A115.04; Argyle Insecticide; A115.02; Actylis Lambda-Cy Insecticide,,,
Aphid species (suppression only),3,AZ Lambda 2ME,,,
Aphid spp.,209,A198.01; Adama Lambda CY VC 223; A198.03; Athena Insecticide; Actylis Lambda-Cy Insecticide,,,
Aphid spp. (Including Black Pecan Aphid),2,Sharda Imidacloprid 11.3% + Bifenthrin 11.3% SC,,,
Aphid spp. (including black pecan aphid),6,Imidacloprid Plus Bifenthrin 1 + 1 SC; Brigadier Insecticide,,,
Aphid-transmitted plant viruses,4,JMS STYLET-OIL,,,
Aphids,4861,0.5% PERMETHRIN AEROSOL SPRAY; 14ACP703 SC Insecticide/Miticide; 2016BIFENTHRIN; 887 Multi-Use Insecticide Spray; 0.3% Bifenthrin Liquid Concentrate,,,
Aphids (Black Pecan,1,2016BIFENTHRIN,,,
Aphids (Eggs),1,LESCO Horticultural Oil Plus,,,
Aphids (Except Black pecan aphid),1,SWAGGER,,,
Aphids (Greenbugs),2,PHORATE 20 G,,,
Aphids (eggs),41,BioCover SS; BioCover MLT; BIOCOVER UL; BIOCOVER LS; Damoil Dormant & Summer Spray Oil,,,
Aphids (except Black pecan aphid),15,Liberty Imidacloprid Bifenthrin; Imidacloprid 4L CTN; LEVERAGE 360 Insecticide; NEONIC Miticide/Insecticide; A177.04,,,
Aphids (except Woolly apple aphid),4,LPI Imidacloprid 75WP Insecticide; MANA Alias 4F,,,
Aphids (except Wooly apple aphid),44,IMI 4 lb Insecticide; Imidacloprid 2F T&O Insecticide; Imida PC 2F Select; Imidacloprid 2FL TC; IMI 2 lb Insecticide,,,
Aphids (except black pecan aphid),11,Imidacloprid 70DF; Couraze 4 Insecticide; Liberty BIFEN-IMIDA 2-1 SC; Equil Imi 4F Insecticide; Liberty Teb-Imida SC,,,
Aphids (except black-pecan aphid),2,MANA Alias 4F,,,
Aphids (except green peach aphid),2,SIVANTO 200 SL,,,
Aphids (except woolly apple aphid),24,Couraze 4 Insecticide; IMI 1.47% Concentrate; Imidacloprid 1.6L AG; EI-796 Insecticide; A177.04,,,
Aphids (except wooly aphid),2,IMI 75 Insecticide in Water Soluble Packets,,,
Aphids (except wooly apple aphid),4,Imidacloprid 70DF; Equil Imi 4F Insecticide,,,
Aphids (excluding woolly apple aphid),2,Couraze 2F Insecticide,,,
Aphids (including Brown citrus aphid),2,Drexel Chlorpyrifos 4E-AG,,,
Aphids (including Woolly apple aphid),2,MANA Alias 4F,,,
Aphids (including potato,1,SHARDA CLOTHIANIDIN 48% FS,,,
Aphids (including woolly apple aphid),23,Couraze 4 Insecticide; Imi 0.235; NEONIC Miticide/Insecticide; Willowood Imidacloprid 2SC; Couraze 2F Insecticide,,,
Aphids (suppression only),16,Starkle 70SG; Dinotefuran 20SG; Scorpion® 35SL Insecticide,,,
Aphids (suppression),23,DISTANCE® Insect Growth Regulator; FBS Carbon Defense,,,
Aphids),4,EVERGREEN Crop Protection EC 60-6,,,
Apopka weevil,3,SEVIN 80 Solupak; Imidan 70-W Agricultural Insecticide; Sevin XLR PLUS Carbaryl Insecticide,,,
Apple,1,Kocide 3000,,,
Apple Aphid,172,Adama Lambda CY VC 223; A115.04; Actara®; A115.02; Actylis Lambda-Cy Insecticide,,,
Apple Aphid Eggs,5,Spray Oil 22E; Spray Oil 15E; SPRAY OIL 415; PURESPRAY™ GREEN FORMULA 3; BIOCOVER UL,,,
Apple Aphid eggs,8,Diazinon AG600 WBC Insecticide; ClearGuard™ Horticultural Spray Oil; PureSpray Green,,,
Apple Aphids,4,Pyrethrum Home and Garden Powder; Sharda Lambda-Cyhalothrin 120 EC,,,
Apple Black Spot/Scab,4,WHIPPET Fungicide,,,
Apple Blister Spot,4,Aliette WDG Fungicide; Linebacker WDG Fungicide; Legion 80 WDG,,,
Apple Blotch,5,REX LIME SULFUR SOLUTION; STK-20 (Regev),,,
Apple Cedar Rust,2,Miller’s Garden Sulphur,,,
Apple Curculio,1,F9318,,,
Apple Gall Midge,2,V-10467 Insecticide,,,
Apple Grain Aphid,3,Sharda Thiamethoxam 25% WDG; Voliam Flexi®,,,
Apple Maggot,276,A198.01; A122.03; A198.03; A122.05; 0.3% Bifenthrin Liquid Concentrate,,,
Apple Maggot (Adult),179,Avalaire Lambda-Cy 1 EC; Adama Lambda CY VC 223; A115.04; A115.02; Actylis Lambda-Cy Insecticide,,,
Apple Maggot (adult),13,Bonide Lambda 0.025% Dust; Chemsico Insecticide Concentrate 63G; Chemsico Insecticide Dust L; Chemsico Insecticide Concentrate 5L; CHEMSICO INSECTICIDE CONCENTRATE 8G,,,
Apple Maggot adults,10,CINNACURETM A300S,,,
Apple Maggots,25,AgriDiatomSil; Chemsico Insecticide Concentrate 22L; LN 1% PY; TNO RTU,,,
Apple Maggots (Adults),6,Sharda Lambda-Cyhalothrin 120 EC,,,
Apple Red Bug,14,CLEAN CROP SUPERIOR DORMANT SPRAY OIL; LESCO Horticultural Oil Plus; JMS STYLET-OIL; PureSpray Green; BIOCOVER UL,,,
Apple Rust,1,Vendex 50WP Miticide,,,
Apple Rust Mite,2,Sharda Spirodiclofen 23.5% SC,,,
Apple Scab,130,AG Copp 75; A15457LG; A19649 Crop; AKOTOP 85 WG; AmeriCop 40 DF,,,
Apple Scab (Venturia),1,Quali-Pro™ 4.5,,,
Apple Scab (suppression),2,REGALIA® 16 Biofungicide,,,
Apple Sphinx,1,Tempo Concentrate Insecticide,,,
Apple Thinning,1,Willowood Oxamyl L,,,
Apple aphid,20,Drexel L-C Insecticide; Actara 240 SC; EVERCIDE® Permethrin Dust 2786; Carbaryl 4L; AZ Lambda 2ME,,,
Apple aphid eggs,6,BioCover SS; Drexel Diazinon Insecticide,,,
Apple aphids,6,MGK 74731; MGK® 74721; MGK® 7478,,,
Apple bark borer,5,Warhawk ClearForm; Drexel Lambdafos; Drexel Chlorpyrifos 4E-AG; Drexel Chlorpyrifos 4E-AG2; Warhawk,,,
Apple cedar rust,4,WETTABLE SULFUR; SULFUR 6 FLOWABLE; Bonide Sulfur Plant Fungicide Micronized Spray or Dust,,,
Apple clearwing moth,7,ISOMATE® P Pheromone,,,
Apple curculio,2,Metabrom 100; Tempo Concentrate Insecticide,,,
Apple gall midge,8,BYI 8330 150 OD Insecticide; Ultor; Movento; Movento HL,,,
Apple grain aphid,1,Actara 240 SC,,,
Apple leaf miner,4,DECIS 1.5 EC Insecticide; Decis 100 EC Insecticide,,,
Apple leafhopper,1,Tempo Concentrate Insecticide,,,
Apple leafminer,4,Battalion 0.2 EC Insecticide; Battalion™ 1.5 EC Insecticide,,,
Apple leafroller,20,Battalion™ 1.5 EC Insecticide; Baythroid XL; Battalion 0.2 EC Insecticide; A177.04; Baythroid 2 Emulsifiable Pyrethroid Insecticide,,,
Apple maggot,138,Aloft GC SC; A197.05; ADVISE FOUR; A177.04; Aloft LC SC,,,
Apple maggot (adult),7,AZ Lambda 2ME; HM-1508 INSECTICIDE,,,
Apple maggot (suppression),1,Radiant SC,,,
Apple maggots,1,Envi EC-X Emulsifiable Concentrate Insecticide,,,
Apple mealybug,3,SEVIN 80 Solupak; Sevin XLR PLUS Carbaryl Insecticide,,,
Apple pandemis,6,Sevin XLR PLUS Carbaryl Insecticide; A152.02,,,
Apple pandemis aphid,1,SEVIN 80 Solupak,,,
Apple pandemis bud moth,2,A152.03,,,
Apple red bud,1,DREXEL 415 OIL 98,,,
Apple red bug,18,DREXEL 415 OIL 98.8; BioCover SS; Golden Pest Spray Oil; DREXEL 455 OIL 98; DREXEL 455 OIL 98.8,,,
Apple red bugs,17,DREXEL 435 OIL 98.8; Synergy Brand,,,
Apple replant disease,2,Sectagon – 42,,,
Apple rust mite,20,AX FLUAZINAM; ENVIDOR 2 SC MITICIDE; A228.03; GWN-1717; BYI 8330 150 OD Insecticide,,,
Apple scab,57,AX FLUAZINAM; Aprovia Fungicide; ALONGLIFE™; Agri-Life; A228.03,,,
Apple scab (black spot),4,KOP-AM Complex; CHEM 50% WP Fungicide,,,
Apple sucker,2,M-97-009 Kaolin; SURROUND CF AGRICULTURAL CROP PROTECTANT,,,
Appleworms,2,Allityn Insect Repellent,,,
Apricot Mealybug,1,Diazinon AG500,,,
Apricot Scab,3,Nufarm CTN SPC 720 Fungicide; Quali-Pro Chlorothalonil 500 ZN,,,
Apricot Scale,10,Diazinon AG600 WBC Insecticide; Diazinon AG500,,,
Apricot scab,3,Chlorothalonil 6; Daconil 720 Flowable Fungicide; A265.02,,,
Apricot scale insects,5,GRIFFIN 435 SOLUBLE OIL,,,
Apricot scales,5,Drexel Diazinon Insecticide,,,
Areolate Leaf Spot,1,Companion® Maxx Liquid Biological Fungicide,,,
Argentine Ants,3,Gourmet Liquid Ant Bait,,,
Argentine ants,3,Zoecon RF-329 Ant Growth Regulator,,,
Armillaria Root Rot,19,Serenade Soil DPZ; QST 713 FS; SERENADE ASO; ArborFos,,,
Armillaria root rot,10,STK-73; TS601®; Theia Fungicide,,,
Armillaria spp.,16,CH2970/CH3000,,,
Armored Scale (suppression),4,Rotam Imidacloprid 70WG Insecticide,,,
Armored Scales,2,Sharda Thiamethoxam 25% WDG; Voliam Flexi®,,,
Armored Scales (suppression),6,Merit 1.1% Insecticide; Mallet 2.5 G Insecticide,,,
Armored scale,9,NEU1160 Vegetable Oil Insecticide; Golden Pest Spray Oil,,,
Armored scale (suppression),6,LADA 2F INSECTICIDE; LADA 1.0G Nursery Insecticide,,,
Armored scales,4,Agri-Flex Miticide/Insecticide; Platinum 75 SG Insecticide; Platinum® Insecticide; Mantra 60 WSP,,,
Army Cutworm,56,Bifenthrin 17.15 FC; A110.08; Avalaire Bifen FC; Bifender FC 3.1; A110.05,,,
Army Worm,20,PURESPRAY™ GREEN FORMULA 3; ClearGuard™ Horticultural Spray Oil; Perma Guard Garden and Plant Protection Insecticide,,,
Army Worms,39,Acetamiprid Concentrate Insecticide; CIC Residual Pressurized Spray No. V; Misty Dualcide P3; CT Residual Spray; Assault II (aerosol),,,
Army cutworm,50,Capture LFR Soil Insecticide; BIFENTHRIN LFC 1.5; F4092-3; F4022-1; Bifenture LFC Insecticide,,,
Army worms,10,Multi-Purpose Insect Killer; CIC Residual Insecticide No. 1; CENOL D200; EVERCIDE® PERMETHRIN Multi-Purpose Spray 27782; Raid Ant & Roach Killer Spray,,,
Army-worms,2,Tetraperm (.15-.15-.75) Yard & Patio WBA; TetraPerm .2+.2 CIK Industrial Insecticide,,,
Armyworm,501,A132.01; A115.04; A110.08; A110.05; A115.02,,,
Armyworm (1st and 2nd instar),6,Tempo Concentrate Insecticide; Tempo® Ready-to-Use Insecticide; HM-1508 INSECTICIDE,,,
Armyworm (Beet,1,LPI Diflubenzuron 2L,,,
Armyworm (Beet),5,EXCELIPROLE 4SC,,,
Armyworm (all species),12,Decis 100 EC Insecticide; Battalion 0.2 EC Insecticide; Battalion™ 1.5 EC Insecticide,,,
Armyworm (excluding Beet Armyworm),2,Bracket 90 WSP; Acephate90SP,,,
Armyworm (excluding beet armyworm),1,Acephate 75SP,,,
Armyworm Fall,2,VCP-030,,,
Armyworm Southern,2,VCP-030,,,
Armyworm Species,10,Bifenthrin 17.15 FC,,,
Armyworm Yellowstriped,1,F9318,,,
Armyworm moth,2,Tempo Concentrate Insecticide,,,
Armyworm species,76,Avalaire Lambda-Cy 1 EC; A115.04; AZ Lambda 2ME; AX LAMBDA-CY CRI; A115.02,,,
Armyworm spp.,152,Adama Lambda CY VC 223; Actylis Lambda-Cy Insecticide; A110.08; A110.05; AMBUSH Insecticide,,,
Armyworm spp. (Spodoptera),14,Tetraniliprole SC 200 Insecticide AG; F4260-1 Insecticide,,,
Armyworm spp.*,1,SWAGGER,,,
Armyworms,1154,0.5% PERMETHRIN AEROSOL SPRAY; A110.03; 2016BIFENTHRIN; 887 Multi-Use Insecticide Spray; 0.3% Bifenthrin Liquid Concentrate,,,
Armyworms (1st and 2nd instars),4,LEVERAGE 360 Insecticide; A177.04,,,
Armyworms (Beet,1,ACENTHRIN INSECTICIDE,,,
Armyworms (Including Beet),1,Sharda Bifenthrin 17.15% LFC,,,
Armyworms (excluding Beet Armyworm),2,Acephate 90EG; Tide Acephate 90 WSG,,,
Armyworms (including Beet,1,A110.03,,,
Armyworms (including Beet),3,GCS Bifenthrin LFC; TEPERA Plus HD fungicide + insecticide,,,
Armyworms and caterpillars,3,Seican,,,
Artichoke Plume Moth,32,EVERCIDE® Emulsifiable Concentrate 28061; Bonide® RTU Vegetable & Ornamental Insect Spray; Diafil® 610; EVERCIDE Emulsifiable Concentrate 2668; BONIDE BONTOX MULTI-PURPOSE INSECTICIDE CONCENTRATE,,,
Artichoke Plume Moths,18,LN 1% PY,,,
Artichoke plum moth,1,Green Light Lawn & Garden Spray with Spinosad,,,
Artichoke plume moth,48,Crymax WP; Condor XL; Crymax®; Cutlass; Condor WP,,,
Artichoke plume moths,1,Envi EC-X Emulsifiable Concentrate Insecticide,,,
Ascochyta,1,Carb-O-Nator,,,
Ascochyta (leaf spot),3,Carb-O-Nator,,,
Ascochyta (ring spot),1,Carb-O-Nator,,,
Ascochyta Leaf Spot,11,Azoxystrobin 2.08 lb SC; Abound Flowable Fungicide; Dexter Max Fungicide; Liberty Azoxy 229; Satori Fungicide,,,
Ascochyta Leaf Spots,2,A225.13; AZteroid FC 3.3,,,
Ascochyta blight,6,26/36 Fungicide; Dovetail,,,
Ascochyta leaf spot,22,AX AZOXY 229; A23089 Fungicide; Endura Fungicide; Cabrio® EG Fungicide; Cevya Fungicide,,,
Ascochyta spp.,17,Polyversum®,,,
Ash whitefly,4,Tempo Concentrate Insecticide,,,
Asian,1,Discipline 2EC,,,
Asian Citrus Psyllid,75,A167.02; Acetamiprid Concentrate Insecticide; ABBA® 0.15EC; A1102.02™; AgLogic 15GG,,,
Asian Citrus Psyllid (Diaphorina citri),6,Tacoma Ag Diflubenzuron 80WSG; Micromite 80WG; A167.08,,,
Asian Citrus Psyllid (suppression),1,AG35814 R334.2 70 WP Insecticide,,,
Asian Cockroach,38,A198.01; A122.03; A110.04; A110.03; A122.05,,,
Asian Cockroach (Blattella asahinae),2,Sharda Imidacloprid 11.3% + Bifenthrin 11.3% SC; Tundra EC,,,
Asian Lady Bird Beetle,9,F9114 EC Insecticide; A198.01; A198.03; F9318; Ax Zeta-Cyper 915,,,
Asian citrus Psyllid,1,LPI Lambda-Cyhalothrin,,,
Asian citrus psylla,2,Timectin 0.15 EC Ag Insecticide/Miticide; AX Abamectin 0.15 EC Insecticide,,,
Asian citrus psyllid,145,A131.01; A171.06™; 14ACP703 SC Insecticide/Miticide; A131.04; A131.03,,,
Asian citrus psyllids,1,Nufarm Abamectin 0.15 EC Insecticide,,,
Asian cockroach,16,Bifenture EC Agricultural Insecticide; Aceto Bifenthrin 2E; A122.01™; AX BIFEN LFR FC; Brigade 2EC Insecticide/Miticide,,,
Asian cockroach (Blattella asahinae),3,Imidacloprid Plus Bifenthrin 1 + 1 SC; Brigadier Insecticide,,,
Asian lady beetles,1,Bonide Lambda 0.5% Concentrate,,,
Asian lady bird beetle,2,F6126 EW Insecticide; HERO Insecticide,,,
Asiatic Garden Beetle),4,Rotam Imidacloprid 70WG Insecticide,,,
Asiatic garden beetle,5,Mantra 60 WSP,,,
Asiatic garden beetle),3,Mallet 2.5 G Insecticide,,,
Asparagus Beetle,60,PyGanic Crop Protection EC 5.0; Perma Guard Garden and Plant Protection Insecticide; PYGANIC Crop Protection EC 1.4; Dairy & Livestock Spray Concentrate; BONIDE Pyrethrin Concentrate 60-6,,,
Asparagus Beetles,66,Chemsico Aerosol Insecticide GSF; Safer Brand O-SAP Ready-To-Use Spray II; LN 1% PY; Pyrocide® Garden Spray Pressurized 30211; Safer Brand O-SAP Concentrate II,,,
Asparagus aphids,2,Drexel Malathion 50% Emulsifiable; Green Devil Spray,,,
Asparagus beetle,24,MGK 74731; MGK® 74721; MGK® 7478; Pyrenone Garden Spray; Synergy Brand,,,
Asparagus beetles,18,"Ortho Tomato & Vegetable Insect Killer; Bonide Rose, Flower & Ornamental Insect Spray Ready-to-Use; Envi EC-X Emulsifiable Concentrate Insecticide; Safer Brand End All RTU",,,
Aspergillus,1,MustGro Invest,,,
Aspergillus niger,3,FROSTBAN B; PHC 25279,,,
Aspergillus rot (suppression),1,FLU+TFS SC 25,,,
Aspergillus spp.,25,ENV503 Biofungicide Wettable Powder; MYCOSTOP Biofungicide,,,
Aspergillus versicolor,1,VIGOROX SP-15 ANTIMICROBIAL AGENT,,,
Aster,15,Clean Slate®; Avalaire Clopyralid 3 SL; A339.01; LIBERTY CLOP; GCS Clopy 360SL,,,
Aster Leafhopper,17,Bonide Permakil 25; Bonide Potato Beetle Beater; Bonide Permakil RTU Permethrin Spray; AMBUSH 25W Insecticide Water Soluble Pack; AMBUSH Insecticide,,,
Aster Leafhoppers,1,RD 1648 Insecticide,,,
Aster leafhopper,26,MGK 74731; MGK® 74721; EVERCIDE® Permethrin Dust 2786; Carbaryl 4L; ARCTIC® 3.2 EC,,,
Aster leafhoppers,4,Drexel Carbaryl 4L; RD 1649 Insecticide; Unicorn 2.5% Permethrin Concentrate/Repellent,,,
Aster yellows,1,BC18-WG,,,
Atlantic,1,Drexel Suffa,,,
Atlantic Mite,1,Sul-Preme 52 Flowable Sulfur,,,
Atlantic mite,8,THAT® Flowable Sulfur; Sulfur 6L; Yellow Jacket Flowable Sulfur,,,
Avocado leafroller,10,MGK 74731; MGK® 74721; GF-3028; Drexel Chlorpyrifos 4E-AG; QRD 452 (Requiem EC),,,
Avocado red spider,246,Avalaire Fenazate 50 WSB; A105.01; Acramite-50WS; AX BIFENAZATE 50 WSB; A105.04,,,
Avocado red spider mite,95,ACRAMITE-4SC; A105.02; LPI Bifenazate 50 WSB,,,
Awl nematodes,14,LALNIX ACT DC; Biostat 10% WP,,,
Azalea Bark Scale,3,TRISTAR 8.5 SL INSECTICIDE,,,
Azalea bark scale,4,TOLFENPYRAD 15SC Insecticide; Tolfenpyrad 15EC Insecticide,,,
Azalea caterpillar,5,LAMBDA 0.5% CONCENTRATE; Dominion 1.47% Plus Lambda 0.5% Liquid; LAMBDA 0.002% READY TO USE; Bonide Lambda 0.5% Concentrate,,,
Azalea whitefly,3,Tempo Concentrate Insecticide,,,
Bacteria,24,Envirolyte O & G; BTC® 2125M-RTU200 Sanitizer; Axen50; 7.5% BTC® 885 Sanitizer; AQUA-ORG PLUS,,,
Bacteria Soft Rot,8,Hydrite PAA HP 15:22; Maguard 5626,,,
Bacterial Blast,173,Agri-Life; 3 LB. COPPER FLOWABLE FUNGICIDE; ARMOUR-Zen 15%; Armour-Zen; AmeriCop 40 DF,,,
Bacterial Blast (Pseudomonas),22,BLUE SHIELD DF; Basic Copper 50 HB; AG Copp 75; Champ Formula 2 Flowable; Bonide Copper Spray or Dust,,,
Bacterial Blast (bloom/growing season),1,Basic Copper 50 HB,,,
Bacterial Blast (sprinkler irrigated orchards),2,Champ WG; Champ Formula 2 Flowable,,,
Bacterial Blight,52,ArborBiotic; Arbor-OTC; AGRI-SEED™ 50 WP; ARMOUR-Zen 15%; Armour-Zen,,,
Bacterial Blight (Xanthomonas),2,Champ Formula 2 Flowable,,,
Bacterial Blight / Bacterial Leaf Spot,2,Zorda WG Biological Fungicide; SERENADE ASO,,,
Bacterial Blight/Canker,12,OxiPhos,,,
Bacterial Blight/Rot,14,Forticept EP #1; BACIX; ARMOUR-Zen 15%; Armour-Zen; Forticept EP #3,,,
Bacterial Blights,1,STK-20 (Regev),,,
Bacterial Cancer,4,STK-20A,,,
Bacterial Canker,421,ArborBiotic; Arbor-OTC; AG Copp 75; 3 LB. COPPER FLOWABLE FUNGICIDE; AmeriCop 40 DF,,,
Bacterial Canker (Shot-Hole),1,Basic Copper 50 HB,,,
Bacterial Canker/Blast,2,Cuprofix Ultra 40 Disperss,,,
Bacterial Diseases,8,Fungi-Phite,,,
Bacterial Fruit Blotch,16,Biorend Cu; Champ Dry Prill; Badge SC; Badge X2; Actigard 50WG Plant Activator,,,
Bacterial Fruit Blotch (suppression),3,"CUPROQUIM NU-COP 40DF; SPU-06050-F (also known as Kocide 50DF, Kocide MAXX); Cuprofix Ultra 40 Disperss",,,
Bacterial Leaf Blight,18,BACIX; ARMOUR-Zen 15%; Milagrum Plus; Armour-Zen; Forticept EP #3,,,
Bacterial Leaf Spot,12,SISCOP 60 SC; OxiPhos; Companion® Maxx Liquid Biological Fungicide; Rhapsody ASO; Actigard 50WG Plant Activator,,,
Bacterial Leaf Spot / Bacterial Spot,4,SERENADE ASO,,,
Bacterial Leaf Spot / Leaf Blight,1,SERENADE ASO,,,
Bacterial Leaf Spot and Bacterial Blight,1,SERENADE ASO,,,
Bacterial Leaf Spot and Blight,1,Zorda WG Biological Fungicide,,,
Bacterial Leaf Spot/Blight,1,STK-20 (Regev),,,
Bacterial Leaf Spot/Speck,1,Phiticide,,,
Bacterial Ring,8,Hydrite PAA HP 15:22; Maguard 5626,,,
Bacterial Ring Rot,12,Hydrite PAA HP 15:22; SaniDate Disinfectant; Maguard 5626,,,
Bacterial Rot,2,Zorda WG Biological Fungicide; SERENADE ASO,,,
Bacterial Rots,1,Fungi-Phite,,,
Bacterial Soft Rot,15,DuPont Tanos; Proxitane WW-12; Companion® Maxx Liquid Biological Fungicide; Rhapsody ASO; SANIDATE 5.0,,,
Bacterial Speck,140,AG Copp 75; Agri-Mycin® 17; 3 LB. COPPER FLOWABLE FUNGICIDE; A295.01; Actigard 50WG Plant Activator,,,
Bacterial Speck (Pseudomonas syringae),6,Vismax Specialty,,,
Bacterial Speck (Pseudomonas),1,Phyton-016-B,,,
Bacterial Speck and Spot,1,Dexter XCEL Fungicide,,,
Bacterial Spot,407,Ag Streptomycin; AG Copp 75; 3 LB. COPPER FLOWABLE FUNGICIDE; A295.01; Actigard 50WG Plant Activator,,,
Bacterial Spot (Xanthomonas spp.),6,Vismax Specialty,,,
Bacterial Spot (Xanthomonas),4,ChampION++ Fungicide/Bactericide; Basic Copper 50 HB; Phyton-016-B,,,
Bacterial Spot (post-bloom and growing season),2,Champ WG,,,
Bacterial Spot / Bacterial Leaf Spot,4,Zorda WG Biological Fungicide,,,
Bacterial Spot / Blight,2,Zorda WG Biological Fungicide,,,
Bacterial Spot Scab,2,AG Copp 75,,,
Bacterial Spot and Canker,9,BioLink Fungicide PLUS,,,
Bacterial Spot and Speck,4,OxiPhos,,,
Bacterial Stem Canker,25,BLUE SHIELD DF; Basic Copper 50 HB; Blue Shield WP; AG Copp 75; Badge X2,,,
Bacterial Stem Rot,1,DuPont Tanos,,,
Bacterial Wilt,13,C-O-C-S Copodust; Midac FC; Bon CSP RTU; Mastercop; Companion Maxx Phosphite,,,
Bacterial Wilt (Ralstonia),1,Phyton-016-B,,,
Bacterial blast,45,BC18-WG; ArborBiotic; Arbor-OTC; ALONGLIFE™; Cueva 2.4 Copper Soap,,,
Bacterial blast (Pseudomonas),3,Nordox 75 WG,,,
Bacterial blight,29,BC18-WG; C-O-C-S WDG; CX-11010; Inosco; CHEM 50% WP Fungicide,,,
Bacterial blight/leaf spot,1,Theia Fungicide,,,
Bacterial blights,9,Bacillus subtilis CX-9090; F4120-1; CX-9030; GH DNMT; CX-9032,,,
Bacterial canker,192,Bacillus subtilis CX-9090; AG Copp 75; AGRI-SEED™ 50 WP; ALONGLIFE™; Agri-Life,,,
Bacterial canker (Pseudomonas spp.),6,TAEGRO,,,
