Simplified_Target,Target_Type,Total_Count,Original_Targets
Florida,Other,38,Florida
Twig Borer,Insect,38,Twig Borer
Improved fruit quality,Other,38,Improved fruit quality
Little Leaf Notcher,Other,37,Little Leaf Notcher
Sunflower,Other,37,Sunflower
Black knot,Other,37,Black knot
Plant pathogens,Insect,37,Plant pathogens
Lepidopterous larvae,Insect,37,Lepidopterous larvae
Junglerice,Other,37,Junglerice
San Jose Scale (fruit infestations only),Insect,37,San Jose Scale (fruit infestations only)
Silver Scurf,Other,37,Silver Scurf
Citricola Scale,Insect,37,Citricola Scale
Peach leaf curl,Other,37,Peach leaf curl
Seed decay,Other,37,Seed decay
Blackheaded fireworm,Insect,37,Blackheaded fireworm
brome,Other,37,brome
Broadleaf,Weed,37,Broadleaf
Potato yellows,Other,36,Potato yellows
Lacebug,Insect,36,Lacebug
Heterodera,Other,36,Heterodera
Leaf blotch,Other,36,Leaf blotch
Navel orange worm,Insect,36,Navel orange worm
Imported cabbageworms,Insect,36,Imported cabbageworms
Crown gall disease,Disease,36,Crown gall disease
Mullein Plant Bug,Insect,36,Mullein Plant Bug
Slugs and snails,Other,36,Slugs and snails
Poinsettia,Other,36,Poinsettia
Meloidogyne,Other,36,Meloidogyne
plant bug spp.,Insect,36,plant bug spp.
Stinkbug spp.,Insect,36,Stinkbug spp.
Fire ant,Insect,36,Fire ant
Fireworm,Insect,36,Fireworm
Barley,Other,36,Barley
Sedge,Weed,36,Sedge
Rednecked cane borer,Insect,36,Rednecked cane borer
Wireworm (adults),Insect,36,Wireworm (adults)
Pre-harvest drop,Other,36,Pre-harvest drop
Mollusks,Other,36,Mollusks
Cabbage budworm,Insect,36,Cabbage budworm
Cabbage worms,Insect,36,Cabbage worms
White grub larvae,Insect,35,White grub larvae
Cranberry Blossom Worm,Insect,35,Cranberry Blossom Worm
Salmonella enterica,Other,35,Salmonella enterica
Uniform budbreak,Other,35,Uniform budbreak
Mole crickets,Vertebrate,35,Mole crickets
Black,Other,35,Black
Yellow Scale,Insect,35,Yellow Scale
field,Other,35,field
Hairy nightshade,Other,35,Hairy nightshade
Cankers,Disease,34,Cankers
London,Other,34,London
and Diebacks,Other,34,and Diebacks
Leaf scorch,Other,34,Leaf scorch
Sooty Mold,Disease,34,Sooty Mold
Green mold,Disease,34,Green mold
Black vine weevil,Insect,34,Black vine weevil
Black nightshade,Other,34,Black nightshade
Chamomile,Other,34,Chamomile
Annual,Other,34,Annual
Pavement ant,Insect,34,Pavement ant
Gloeosporium,Other,34,Gloeosporium
Anoda,Other,34,Anoda
Black pox,Other,34,Black pox
Raspberry crown borer,Insect,34,Raspberry crown borer
Common mallow,Other,34,Common mallow
Imported Cabbage Worm,Insect,34,Imported Cabbage Worm
Macadamia Nut Borer,Insect,34,Macadamia Nut Borer
Shepherd’s purse,Other,33,Shepherd’s purse
Wild oat,Other,33,Wild oat
Stink bug,Insect,33,Stink bug
Root-knot nematodes,Other,33,Root-knot nematodes
Lance nematodes,Other,33,Lance nematodes
Banded Grape Bug,Insect,33,Banded Grape Bug
Glassy-Winged Sharpshooter,Other,33,Glassy-Winged Sharpshooter
Cyst nematodes,Other,33,Cyst nematodes
Glassywinged sharpshooter,Other,33,Glassywinged sharpshooter
Grape Cane Girdler,Other,33,Grape Cane Girdler
Starbur,Other,33,Starbur
Hairy fleabane,Other,33,Hairy fleabane
Spiral nematodes,Other,33,Spiral nematodes
Pink Pitting,Other,32,Pink Pitting
Sweet Potato Vine Borer,Insect,32,Sweet Potato Vine Borer
Phylloxera spp.,Other,32,Phylloxera spp.
Celery Looper,Other,32,Celery Looper
Sweet Potato Hornworm,Insect,32,Sweet Potato Hornworm
Virginia,Other,32,Virginia
Tobacco hornworm,Insect,32,Tobacco hornworm
Carrot Weevil,Insect,32,Carrot Weevil
Escherichia coli O157:H7,Other,32,Escherichia coli O157:H7
Pseudomonas syringae,Other,32,Pseudomonas syringae
Rootgrubs,Insect,32,Rootgrubs
California Red Scale,Insect,32,California Red Scale
Green foxtail,Weed,32,Green foxtail
Improved Fruit Size,Other,32,Improved Fruit Size
Rindworm species complex,Insect,32,Rindworm species complex
lace bugs,Insect,32,lace bugs
Lecanium Scales,Insect,32,Lecanium Scales
Wild mustard,Other,32,Wild mustard
Listeria monocytogenes,Other,32,Listeria monocytogenes
Corn Rootworm,Insect,32,Corn Rootworm
Sprangletop,Other,31,Sprangletop
Redmaids,Other,31,Redmaids
Erwinia amylovora,Other,31,Erwinia amylovora
Ticks,Other,31,Ticks
Algae,Other,31,Algae
Onion Maggots,Insect,31,Onion Maggots
Fruit Tree Leaf Roller (eggs),Insect,31,Fruit Tree Leaf Roller (eggs)
Stored product insects,Other,31,Stored product insects
Fiddleneck,Other,31,Fiddleneck
Florida Red Scale,Insect,31,Florida Red Scale
Net necrosis,Disease,31,Net necrosis
spurred,Other,31,spurred
Redstem filaree,Other,31,Redstem filaree
earwigs,Other,31,earwigs
Penicillium spp.,Other,31,Penicillium spp.
yellow nutsedge,Weed,31,yellow nutsedge
Brown Leaf Notcher,Other,31,Brown Leaf Notcher
Citrus Nematode,Other,30,Citrus Nematode
Copperleaf,Other,30,Copperleaf
Burclover,Weed,30,Burclover
San Jose scale (crawlers),Insect,30,San Jose scale (crawlers)
Albinism,Other,30,Albinism
European corn borers,Insect,30,European corn borers
Root Maggots,Insect,30,Root Maggots
Grape leaf skeletonizer,Other,30,Grape leaf skeletonizer
Box Elder Bugs,Insect,30,Box Elder Bugs
Grape Colaspis,Other,30,Grape Colaspis
Southern Green Stink Bug,Insect,30,Southern Green Stink Bug
Cricket spp.,Other,30,Cricket spp.
corn earworm,Insect,30,corn earworm
Purple blotch,Other,30,Purple blotch
Black Pox,Other,30,Black Pox
Dagger Nematode,Other,30,Dagger Nematode
Sting Nematode,Other,30,Sting Nematode
Ground covers,Other,30,Ground covers
pear psylla,Other,30,pear psylla
Whiteflies (suppression),Other,30,Whiteflies (suppression)
Stubby Root Nematode,Other,29,Stubby Root Nematode
Pecan Phylloxera species,Other,29,Pecan Phylloxera species
henbit,Other,29,henbit
mustard,Other,29,mustard
Imported fire ants,Insect,29,Imported fire ants
Stinkbug,Insect,29,Stinkbug
Swede Midge,Insect,29,Swede Midge
Garden Webworm,Insect,29,Garden Webworm
Common Purslane,Weed,29,Common Purslane
San Jose scales,Insect,29,San Jose scales
Bollworms,Insect,29,Bollworms
Sparganothis fruitworm,Insect,29,Sparganothis fruitworm
Rose slugs,Other,28,Rose slugs
tumble,Other,28,tumble
Mealy bugs,Insect,28,Mealy bugs
Pecan Casebearer species,Other,28,Pecan Casebearer species
Rose Bloom,Other,28,Rose Bloom
marestail,Other,28,marestail
Pythium damping off,Other,28,Pythium damping off
bittercress,Other,28,bittercress
Dogwood Borer,Insect,28,Dogwood Borer
Boxelder bugs,Insect,28,Boxelder bugs
Glassy Winged Sharpshooter,Other,28,Glassy Winged Sharpshooter
Native fire ants,Insect,28,Native fire ants
tomato fruitworm,Insect,28,tomato fruitworm
Cladosporium,Other,28,Cladosporium
Chemical thinning,Other,28,Chemical thinning
Ripening,Other,28,Ripening
Olive scale,Insect,28,Olive scale
Rootworm larvae,Insect,28,Rootworm larvae
Potato leaf roll virus,Disease,28,Potato leaf roll virus
Reniform Nematode,Other,28,Reniform Nematode
Tobacco Wireworm,Insect,28,Tobacco Wireworm
parsley-piert,Other,28,parsley-piert
Coryneum,Other,27,Coryneum
Red Stele,Other,27,Red Stele
Red Striped Fireworm,Insect,27,Red Striped Fireworm
Pythium Leak,Other,27,Pythium Leak
Pin nematodes,Other,27,Pin nematodes
Peachtree Borer,Insect,27,Peachtree Borer
Springtails,Other,27,Springtails
Plant bug,Insect,27,Plant bug
southern,Other,27,southern
Needle nematodes,Other,27,Needle nematodes
Tree Borer spp.,Insect,27,Tree Borer spp.
Katydid (nymphs),Insect,27,Katydid (nymphs)
Rhizopus,Other,27,Rhizopus
Pusley,Other,27,Pusley
Dagger nematodes,Other,27,Dagger nematodes
White flies,Other,27,White flies
Vinegar Flies (Adult),Other,27,Vinegar Flies (Adult)
Eveningprimrose,Other,27,Eveningprimrose
Heliothis virescens,Other,27,Heliothis virescens
Garden Symphylans,Other,27,Garden Symphylans
Hairy,Other,27,Hairy
Citrus Canker,Disease,27,Citrus Canker
Fruit set,Other,27,Fruit set
Squash bug,Insect,26,Squash bug
nutsedge,Weed,26,nutsedge
Chiggers,Other,26,Chiggers
pecan nut casebearer,Other,26,pecan nut casebearer
Red spider,Insect,26,Red spider
Nettle,Other,26,Nettle
Corn Wireworm,Insect,26,Corn Wireworm
Psyllid,Other,26,Psyllid
Yellow Foxtail,Weed,26,Yellow Foxtail
Rice Weevils,Insect,26,Rice Weevils
Root maggot,Insect,26,Root maggot
Cercospora,Other,26,Cercospora
Lygus Bug spp.,Insect,26,Lygus Bug spp.
Fleahoppers,Insect,26,Fleahoppers
Koa Seedworm,Insect,26,Koa Seedworm
Southern Potato Wireworm,Insect,26,Southern Potato Wireworm
Plant Parasitic Nematodes,Insect,26,Plant Parasitic Nematodes
Alternaria Diseases,Disease,26,Alternaria Diseases
coast,Other,26,coast
Bacterial Stem Canker,Disease,25,Bacterial Stem Canker
Increased Fruit Number,Other,25,Increased Fruit Number
Walnut Scale,Insect,25,Walnut Scale
Aspergillus spp.,Other,25,Aspergillus spp.
Lepidoptera larvae,Insect,25,Lepidoptera larvae
Grape Leaf Skeletonizer,Other,25,Grape Leaf Skeletonizer
Reniform nematode,Other,25,Reniform nematode
Giant Foxtail,Insect,25,Giant Foxtail
Cowpea Curculio,Other,25,Cowpea Curculio
Apple Maggots,Insect,25,Apple Maggots
Potato vine desiccation,Other,25,Potato vine desiccation
Black Nightshade,Other,25,Black Nightshade
Tobacco Budworms,Insect,25,Tobacco Budworms
Navel Orangeworms,Insect,25,Navel Orangeworms
Silver scurf,Other,25,Silver scurf
Sting nematodes,Other,25,Sting nematodes
tarnished plant bug,Insect,25,tarnished plant bug
Green Foxtail,Weed,25,Green Foxtail
tomato pinworm,Insect,25,tomato pinworm
Shot-hole,Other,25,Shot-hole
Blue Green Citrus Root Weevil,Insect,25,Blue Green Citrus Root Weevil
Sprout inhibition,Other,25,Sprout inhibition
Hairy Nightshade,Other,25,Hairy Nightshade
Citricola scale,Insect,25,Citricola scale
True,Other,24,True
Plant Bugs (Lygus species),Insect,24,Plant Bugs (Lygus species)
Bagrada Bug,Insect,24,Bagrada Bug
Canada,Other,24,Canada
Plant pathogenic nematodes,Insect,24,Plant pathogenic nematodes
fireworms,Insect,24,fireworms
Phytophthora capsici,Other,24,Phytophthora capsici
Drosophila spp.,Other,24,Drosophila spp.
Squash Bug species,Insect,24,Squash Bug species
perennial,Other,24,perennial
periodical cicada,Other,24,periodical cicada
Fescue,Weed,24,Fescue
Pecan Casebearer,Other,24,Pecan Casebearer
Shoot Blast,Other,24,Shoot Blast
Grey mold,Disease,24,Grey mold
Annual sowthistle,Weed,24,Annual sowthistle
Navel orangeworms,Insect,24,Navel orangeworms
Burrowing nematodes,Other,24,Burrowing nematodes
White grub,Insect,24,White grub
Squash Vine Borer species,Insect,24,Squash Vine Borer species
Soil insects,Other,24,Soil insects
Plum Curculios,Other,24,Plum Curculios
Bacteria,Disease,24,Bacteria
Tomato (Potato) psyllid,Other,24,Tomato (Potato) psyllid
Beet,Insect,24,Beet
squash bugs,Insect,24,squash bugs
Cherry Fruit Flies,Other,24,Cherry Fruit Flies
Seed maggots,Insect,24,Seed maggots
Common Lambsquarters,Weed,24,Common Lambsquarters
smallflower,Other,23,smallflower
Bollworm,Insect,23,Bollworm
Cabbage Maggot,Insect,23,Cabbage Maggot
harvester,Other,23,harvester
Goldenrod,Other,23,Goldenrod
imported cabbageworm,Insect,23,imported cabbageworm
Giant African Land Snail,Insect,23,Giant African Land Snail
Looper species,Other,23,Looper species
Cottony peach scale,Insect,23,Cottony peach scale
Fungus gnat larvae,Insect,23,Fungus gnat larvae
purple,Other,23,purple
Post Bloom Fruit Drop,Other,23,Post Bloom Fruit Drop
Strawberry weevils,Insect,23,Strawberry weevils
Galinsoga spp.,Other,23,Galinsoga spp.
Moss,Other,23,Moss
Seedcorn maggot,Insect,23,Seedcorn maggot
Grape phylloxera,Other,23,Grape phylloxera
fruit flies,Other,23,fruit flies
California red scale,Insect,23,California red scale
Improve flowering & fruit set,Other,23,Improve flowering & fruit set
Improve crop uniformity & size,Other,23,Improve crop uniformity & size
Thielaviopsis spp.,Other,23,Thielaviopsis spp.
Peach Leaf Curl,Other,23,Peach Leaf Curl
Foliar Fungal Diseases,Disease,23,Foliar Fungal Diseases
decay,Other,23,decay
Granville Wilt,Disease,22,Granville Wilt
Lepidoptera pests,Other,22,Lepidoptera pests
foliar diseases,Disease,22,foliar diseases
Bacterial diseases,Disease,22,Bacterial diseases
Squash vine borer,Insect,22,Squash vine borer
Ants (excluding fire ants,Insect,22,Ants (excluding fire ants
Pythium spp. (Damping off),Other,22,Pythium spp. (Damping off)
Southern cabbageworm,Insect,22,Southern cabbageworm
Vegetable weevil,Insect,22,Vegetable weevil
Botrytis (gray mold),Disease,22,Botrytis (gray mold)
Helicotylenchus spp. (spiral nematodes),Other,22,Helicotylenchus spp. (spiral nematodes)
Leaf-feeding Insects,Other,22,Leaf-feeding Insects
Dock,Other,22,Dock
Soil Fungal Diseases,Disease,22,Soil Fungal Diseases
White grubs,Insect,22,White grubs
Black Shank,Other,22,Black Shank
Soil diseases,Disease,22,Soil diseases
Yellowstriped,Other,22,Yellowstriped
Smooth,Other,22,Smooth
Bacterial Blast (Pseudomonas),Disease,22,Bacterial Blast (Pseudomonas)
Other cryptogams,Other,22,Other cryptogams
Organisms causing decay,Other,22,Organisms causing decay
Trees,Other,22,Trees
Bacterial wilt,Disease,22,Bacterial wilt
Other insects,Other,22,Other insects
Plant bug species,Insect,22,Plant bug species
Fall webworms,Insect,22,Fall webworms
Meloidogyne spp. (root-knot nematodes),Other,22,Meloidogyne spp. (root-knot nematodes)
Hickory Shuck Worm,Insect,22,Hickory Shuck Worm
Root Maggot,Insect,22,Root Maggot
Frost and frost damage,Other,22,Frost and frost damage
fruitworms,Insect,22,fruitworms
Stem nematode,Other,22,Stem nematode
Pratylenchus spp. (lesion nematodes),Disease,22,Pratylenchus spp. (lesion nematodes)
Inchworms,Insect,22,Inchworms
Verticillium dahliae (Verticillium wilt),Disease,22,Verticillium dahliae (Verticillium wilt)
Burrowing nematode,Other,22,Burrowing nematode
Phomopsis spp.,Other,22,Phomopsis spp.
Criconemella spp. and related genera (ring nematodes),Other,22,Criconemella spp. and related genera (ring nematodes)
Criconemoides spp.,Other,22,Criconemoides spp.
Heterodera spp. and Globodera spp. (cyst nematodes),Other,22,Heterodera spp. and Globodera spp. (cyst nematodes)
Plant diseases,Insect,22,Plant diseases
plant parasitic nematodes,Insect,22,plant parasitic nematodes
Sod webworms,Insect,22,Sod webworms
Pythium leak,Other,22,Pythium leak
Watermelon Bacterial Fruit Blotch,Disease,22,Watermelon Bacterial Fruit Blotch
Soft-bodied insects,Other,22,Soft-bodied insects
Digger wasps,Insect,21,Digger wasps
lesion nematodes,Disease,21,lesion nematodes
Yellow loosestrife,Other,21,Yellow loosestrife
Post-Bloom Fruit Drop,Other,21,Post-Bloom Fruit Drop
Horseflies,Other,21,Horseflies
Crown Gall Disease,Disease,21,Crown Gall Disease
entireleaf,Other,21,entireleaf
Improve fruit set,Other,21,Improve fruit set
Leaf-feeding insects,Other,21,Leaf-feeding insects
Ants (excluding carpenter,Insect,21,Ants (excluding carpenter
fire and pharaoh),Other,21,fire and pharaoh)
Grey Mold,Disease,21,Grey Mold
Leaf rollers,Insect,21,Leaf rollers
plant-parasitic nematodes,Insect,21,plant-parasitic nematodes
Leaf miner,Insect,21,Leaf miner
Leaf hopper species,Insect,21,Leaf hopper species
Cranberry fruitworms,Insect,21,Cranberry fruitworms
Horn Worm,Insect,21,Horn Worm
Potato/Tomato Psyllid,Other,21,Potato/Tomato Psyllid
Western Raspberry Fruit Worm,Insect,21,Western Raspberry Fruit Worm
soil-borne diseases,Disease,21,soil-borne diseases
Phoma spp.,Other,21,Phoma spp.
Terrapin scale,Insect,21,Terrapin scale
Webworms (including garden,Insect,21,Webworms (including garden
Field pennycress,Other,21,Field pennycress
suppression only,Other,21,suppression only
Tomato mottle virus,Disease,21,Tomato mottle virus
Susceptible broadleaf,Weed,21,Susceptible broadleaf
Belonolaimus spp. (sting nematodes),Other,21,Belonolaimus spp. (sting nematodes)
Abiotic stress tolerance,Other,21,Abiotic stress tolerance
seedling,Other,21,seedling
Sucker growth,Other,21,Sucker growth
Suckers,Other,21,Suckers
sod),Other,21,sod)
Strawberry clipper,Other,21,Strawberry clipper
Canker,Disease,21,Canker
Mosses and other cryptogams,Other,21,Mosses and other cryptogams
Most harmful garden insects,Other,21,Most harmful garden insects
Various insect pests (e.g.,Other,21,Various insect pests (e.g.
European earwig,Other,21,European earwig
Musk thistle,Weed,21,Musk thistle
Fire Worms,Insect,21,Fire Worms
Botryosphaeria canker,Disease,20,Botryosphaeria canker
Plant Growth Regulation,Insect,20,Plant Growth Regulation
downy (cheatgrass),Disease,20,downy (cheatgrass)
Tomato yellow leaf curl virus,Disease,20,Tomato yellow leaf curl virus
Cross-striped Cabbageworms,Insect,20,Cross-striped Cabbageworms
Snowy tree cricket,Other,20,Snowy tree cricket
Biotic stress,Other,20,Biotic stress
spiral nematodes,Other,20,spiral nematodes
Tomato Fruitworms,Insect,20,Tomato Fruitworms
Lesion (Pratylenchus spp.),Disease,20,Lesion (Pratylenchus spp.)
Black scales,Insect,20,Black scales
orange tortrix,Other,20,orange tortrix
Sting (Belonolaimus spp.),Other,20,Sting (Belonolaimus spp.)
Perennial herbaceous plants,Insect,20,Perennial herbaceous plants
Root-knot (Meloidogyne spp.),Other,20,Root-knot (Meloidogyne spp.)
webworms,Insect,20,webworms
hophornbeam,Other,20,hophornbeam
Strawberry weevil,Insect,20,Strawberry weevil
true,Other,20,true
tropic,Other,20,tropic
Surface mold,Disease,20,Surface mold
Pythium Damping-off,Other,20,Pythium Damping-off
Eggs of Lepidopteran pests,Other,20,Eggs of Lepidopteran pests
Red,Other,20,Red
Phytophthora infestans,Other,20,Phytophthora infestans
Uniform color development,Other,20,Uniform color development
Citrus nematodes,Other,20,Citrus nematodes
Cut Worms,Insect,20,Cut Worms
Needle (Longidorus africanus),Other,20,Needle (Longidorus africanus)
Stem Canker,Disease,20,Stem Canker
Dogfennel,Other,20,Dogfennel
Potato cyst (Globodera spp.),Other,20,Potato cyst (Globodera spp.)
Amorbia,Other,20,Amorbia
Corn Borer,Insect,20,Corn Borer
Lygus/Plant Bugs,Insect,20,Lygus/Plant Bugs
Plantain,Insect,20,Plantain
Vinegar flies,Other,20,Vinegar flies
Corn Rootworm (adults),Insect,20,Corn Rootworm (adults)
Army Worm,Insect,20,Army Worm
Plant growth regulator and yield stimulant,Insect,20,Plant growth regulator and yield stimulant
White peach scale,Insect,20,White peach scale
Lesser peachtree borer,Insect,20,Lesser peachtree borer
Southern Blue Green Citrus Root Weevil,Insect,20,Southern Blue Green Citrus Root Weevil
Gophers,Vertebrate,20,Gophers
Lance (Hoplolaimus spp.),Other,20,Lance (Hoplolaimus spp.)
reniform nematodes,Other,20,reniform nematodes
Milkweed bugs,Insect,20,Milkweed bugs
Botrytis leaf mold,Disease,20,Botrytis leaf mold
Wild radish,Other,20,Wild radish
rose chafer,Other,20,rose chafer
Cankerworm,Insect,20,Cankerworm
Xanthomonas Leaf Spot,Insect,20,Xanthomonas Leaf Spot
Volunteer Wheat,Other,20,Volunteer Wheat
Tansymustard,Other,19,Tansymustard
Cabbage maggot,Insect,19,Cabbage maggot
Soft Scale,Insect,19,Soft Scale
Sprouting,Other,19,Sprouting
and root or crown diseases,Disease,19,and root or crown diseases
corn,Other,19,corn
Soilborne diseases,Disease,19,Soilborne diseases
trees and vines,Other,19,trees and vines
Stunt Nematode,Other,19,Stunt Nematode
Plasmopara viticola,Other,19,Plasmopara viticola
Stubby-root nematodes,Other,19,Stubby-root nematodes
root-knot nematodes,Other,19,root-knot nematodes
Shot-Hole,Other,19,Shot-Hole
Zoosporic plant pathogenic microorganisms,Insect,19,Zoosporic plant pathogenic microorganisms
Reniform nematodes,Other,19,Reniform nematodes
ring nematodes,Other,19,ring nematodes
lance nematodes,Other,19,lance nematodes
Radish,Other,19,Radish
Rosette or Double Blossom of Blackberries,Other,19,Rosette or Double Blossom of Blackberries
Citrus canker,Disease,19,Citrus canker
Growth regulation,Other,19,Growth regulation
Defoliation,Other,19,Defoliation
Mealy bug,Insect,19,Mealy bug
Verticillium Wilt,Disease,19,Verticillium Wilt
Sawflies,Other,19,Sawflies
borers,Insect,19,borers
Old World bollworm,Insect,19,Old World bollworm
Italian Scale,Insect,19,Italian Scale
Post bloom fruit drop,Other,19,Post bloom fruit drop
sting nematodes,Other,19,sting nematodes
Spoilage and decay causing bacteria,Disease,19,Spoilage and decay causing bacteria
dandelion,Weed,19,dandelion
Other plant parasitic nematodes,Insect,19,Other plant parasitic nematodes
Clubroot,Other,19,Clubroot
stunt nematodes,Other,19,stunt nematodes
Sooty mold,Disease,19,Sooty mold
Citrus peelminer,Insect,19,Citrus peelminer
