Original_Target,Suggested_Simplified_Target and Disease Common Name,Target_Type,Crop/Specification,Causal organism,Count,Examples,Notes,,,,Count:,2584
Amaranth Palmer,Amaranth Palmer,Insect,,,2,Sulfentrazone 4SC Select ABN: Sulfentrazone 4SC Prime; Shafen Star,,,,,,
Amaranthus blitoides,Amaranthus blitoides,Insect,,,1,F6285 4F CAL Herbicide,,,,,,
Amaranthus dubius,Amaranthus dubius,Insect,,,8,F6285 4F CAL Herbicide,,,,,,
Amaranthus hybridus,Amaranthus hybridus,Insect,,,12,F6285 4F CAL Herbicide,,,,,,
Amaranthus lividus,Amaranthus lividus,Insect,,,8,F6285 4F CAL Herbicide,,,,,,
Amaranthus palmeri,Amaranthus palmeri,Insect,,,9,F6285 4F CAL Herbicide,,,,,,
Amaranthus powellii,Amaranthus powellii,Insect,,,5,F6285 4F CAL Herbicide,,,,,,
Amaranthus retroflexus,Amaranthus retroflexus,Insect,,,13,F6285 4F CAL Herbicide,,,,,,
Amaranthus rudis,Amaranthus rudis,Insect,,,13,F6285 4F CAL Herbicide,,,,,,
Amaranthus spinosus,Amaranthus spinosus,Insect,,,8,F6285 4F CAL Herbicide,,,,,,
Amaranthus tuberculatus,Amaranthus tuberculatus,Insect,,,10,F6285 4F CAL Herbicide,,,,,,
Ambrosia Beetles,Ambrosia Beetles,Insect,,,1,BOXERTM Insecticide-Miticide,,,,,,
Ambrosia beetles,Ambrosia Beetles,Insect,,,1,CROPCOAT CX1098,,,,,,
American,American,Other,,,10,F7127 SE HERBICIDE,Review needed - unclear target type,,,,,
American black,American black,Other,,,13,Willowood OxyFlo 2EC; BLASTWAVE 480 SC; BCP258H_3 HERBICIDE,Review needed - unclear target type,,,,,
American burnweed,Weeds,Weed,,,5,FreeHand 1.75G Herbicide,,,,,,
American Plum Borer,American Plum Borers,Insect,,,282,A198.01; A198.03; A115.04; A115.02; Actylis Lambda-Cy Insecticide,,,,,,
American plum borer,American Plum Borers,Insect,,,68,CHA 1525-03; Baythroid XL; AZ Lambda 2ME; A177.04; Baythroid 2 Emulsifiable Pyrethroid Insecticide,,,,,,
American Plum Borers,American Plum Borers,Insect,,,8,Chemsico Insecticide Concentrate 22L; Sharda Lambda-Cyhalothrin 120 EC,,,,,,
American Shuckworm,American Shuckworm,Insect,,,2,Bonide® RTU Vegetable & Ornamental Insect Spray,,,,,,
Amorbia,Amorbia,Insect,,,20,BioproTeK; Bioprotec PLUS; Crymax WP; Condor XL; Condor WP,Review needed - unclear target type,,,,,
Amorbia (Western Avocado Leafroller),Amorbia,Insect,,,1,Danitol 2.4 EC Spray,,,,,,
Ampelamus albidus,Ampelamus albidus,Other,,,8,F6285 4F CAL Herbicide,Review needed - unclear target type,,,,,
Anastrepha spp.,Anastrepha spp.,Other,,,2,Metabrom 100,Review needed - unclear target type,,,,,
and Brown Rot,Brown Rot,Disease,,,2,ReLoad Fungicide; PHOSTROL Agricultural Fungicide,,,,,,
and buckthorn aphids),Buckthorn aphids,Insect,,,1,SHARDA CLOTHIANIDIN 48% FS,,,,,,
and Diebacks,Dieback,Other,,,34,Nufarm T-Methyl SPC 50 WSB Fungicide; Nufarm T-Methyl SPC 4.5 F Fungicide; 3336 EG; 3336 F; OHP 4.5 L,Review needed - unclear target type,,,,,
and enhanced return bloom,Enhanced return bloom,Other,,,2,MaxCel,Review needed - unclear target type,,,,,
and firmer sweet cherries,Firmer sweet cherries,Other,,,1,FAL 436,Review needed - unclear target type,,,,,
and firmness,Firmness,Other,,,1,N-LARGE Premier,Review needed - unclear target type,,,,,
and Fruit Rot,Fruit Rot,Disease,,,12,Forticept EP #1; Forticept EP #2; Forticept EP #3,,,,,,
and fruit rot,Fruit Rot,Disease,,,20,FLU+DFO; LIBERTY PYRAC-DCZ; LIBERTY PYRAC-PPZ; Cabrio® EG Fungicide; Merivon Xemium Brand Fungicide,,,,,,
and Greenhouse),Greenhouse,Other,,,3,LIBERTY ACETA-BIF,Review needed - unclear target type,,,,,
and hobo),Hobo,Other,,,1,HM-1508 INSECTICIDE,Review needed - unclear target type,,,,,
and perennial grasses and broadleaf weeds,"Perennial grasses, Broadleaf weeds",Weed,,,1,Norosac® 4G Dichlobenil Herbicide,,,,,,
and Pharaoh Ants),Pharaoh Ants,Insect,,,16,Synergy Brand,,,,,,
and Pharaoh ants),Pharaoh Ants,Insect,,,1,Agri-Flex Miticide/Insecticide,,,,,,
and Pharaoh),Pharaoh Ants,Other,,,1,AVATAR® PLX,Review needed - unclear target type,,,,,
and root or crown diseases,"Root disease, Crown disease",Disease,,,19,STK-73; F4120-2 (Ethos 3D Insecticide/Fungicide),,,,,,
and root or crown diseases caused by Pythium,"Root disease, Crown disease",Disease,,Pythium spp.,14,F4092-3,,,,,,
and root rot,Root rot,Disease,,,1,A288.05,,,,,,
and sedge weeds,Sedge weeds,Weed,,,24,Authority 75 DF Herbicide; Alligare Sulfentrazone 4SC,,,,,,
and Seedling Blight,Seedling blight,Disease,,,5,Dynasty,,,,,,
and seedling blight,Seedling blight,Disease,,,6,Azoxystrobin 9.6% ST Fungicide,,,,,,
and seedling blight caused by seed-borne and soil-borne fungi,Seedling blight,Disease,,,12,SPIRATO 480 FS; DYNA-SHIELD® FLUDIOXONIL,,,,,,
and seedling blight caused by seed-borne and soil-borne Pythium,Seedling blight,Disease,,Pythium spp.,1,Champion 50 ST,,,,,,
and Stem Canker,Stem Canker,Disease,,,6,AzoxyPropi; AzoxyProp Select; Avalaire AzoxyProp; Azoxystrobin 141.4 g/L & Propiconazole 122.2 g/L Fungicide; A225.08,,,,,,
Angoumois (Brain Moths),Angoumois (Brain Moths),Insect,,,2,Premium Dairy Aerosol,,,,,,
Angoumois Grain Moth,Grain Moths,Insect,,Angoumois,2,EVERGREEN Crop Protection EC 60-6,,,,,,
Angoumois Grain Moths,Grain Moths,Insect,,Angoumois,38,A.C. Southern Spray-Tox Insecticide; ENTECH FOG-3; MGK AgriPest Cropfume P-H with Pyrethrins/PBO; Entech Fog-10 Space Spray; PRENTOX® FOG and MILL SPRAY,,,,,,
Angoumois grain moths,Grain Moths,Insect,,Angoumois,2,DY-FLY Dairy Aerosol,,,,,,
Angoumois Moths,Moths,Insect,,Angoumois,1,CT-55 Dairy Aerosol,,,,,,
Angular Leaf Spot,Angular Leaf Spot,Disease,,,144,A253.08; 3 LB. COPPER FLOWABLE FUNGICIDE; A253.09; A253.05 [Vango ESQ]; Actigard 50WG Plant Activator,,,,,,
Angular leaf spot,Angular Leaf Spot,Disease,,,81,A20259 Crop; A23089 Fungicide; A19649 Crop; A20560 Crop Fungicide; A253.03,,,,,,
Angular leaf spot (Mycosphearella angulata),Angular Leaf Spot,Disease,,Mycosphearella angulata,1,Revus Top,,,,,,
Angular Leaf Spot (Xanthomonas),Angular Leaf Spot,Insect,,Xanthomonas spp.,3,ChampION++ Fungicide/Bactericide; NutriBP017; Kocide 2000,,,,,,
Angular Leaf Spots,Angular Leaf Spot,Disease,,,1,Lilly Miller KOP-R-SPRAY Concentrate,,,,,,
Angular leafspot,Angular Leaf Spot,Disease,,,3,Inspire; A253.01; Avalaire Difenoconazole EC,,,,,,
Annual,Annual,Weed,,,34,Galigan® H2O; A229.02; LIBERTY CLOP; GCS Clopy 360SL; IMAZETHAPYR 240 SL,Review needed - unclear target type,,,,,
annual,Annual,Weed,,,92,Biscayne Herbicide; A363.01; BLASTWAVE 480 SC; A339.01; A335.05,Review needed - unclear target type,,,,,
Annual (Poa annua),Annual,Other,,Poa annua,8,Prodiamine Pro F 0.20% Herbicide,Review needed - unclear target type,,,,,
annual (suppression only),Annual,Other,,,1,LPI.A026,Review needed - unclear target type,,,,,
Annual and biennial broadleaf weeds,"Annual broadleaf, Biennial broadleaf",Weed,,,12,"Liberty 2,4-D Amine 4; NFA-0020110; Challenger; 2,4-D DMA-DEA LDV; Tenkoz Amine 4 Herbicide",,,,,,
annual and biennial broadleaf weeds,"Annual, Biennial broadleaf",Weed,,,2,Statesman Herbicide,,,,,,
Annual and biennial grass and broadleaf weeds,"Annual, Biennial broadleaf, Annual grass, Biennial broadleaf",Weed,,,1,Norosac® 4G Dichlobenil Herbicide,,,,,,
Annual and Biennial Weeds,"Annual, Biennial",Weed,,,5,"Amine 4 2,4-D Weed Killer; IPA-4",,,,,,
Annual and biennial weeds,"Annual, Biennial",Weed,,,19,"DMA4; Drexel D-Amine 4; 2,4-D/Amine 4",,,,,,
annual and biennial weeds,"Annual, Biennial",Weed,,,9,Cornbelt 4 Ib Amine,,,,,,
Annual and perennial broadleaf and grass weeds,"Annual grass, Perennial broadleaf, Annual grass, Perennial broadleaf",Weed,,,80,LPI.A040; EMERION™ 5 RTU,,,,,,
Annual and perennial broadleaf weeds,"Annual broadleaf, Perennial broadleaf",Weed,,,1,Avalaire Fluroxypyr EC,,,,,,
annual and perennial broadleaf weeds,"Annual broadleaf, Perennial broadleaf",Weed,,,2,Starane Ultra,,,,,,
Annual and perennial grass and broadleaf weeds,"Annual, Perennial broadleaf, Annual grass, Perennial broadleaf",Weed,,,74,AgLogic 280 SL Glufosinate Herbicide; GFA 280 Herbicide; A357.03; Casoron CS; A357.02,,,,,,
Annual and Perennial Grass Weeds,"Annual grass, Perennial grass",Weed,,,7,ORNAMEC,,,,,,
Annual and perennial grass weeds,"Annual grass, Perennial grass",Weed,,,37,Fusilade DX Herbicide; Sharda Fluazifop-P-butyl 24.5% EC II; A382.05,,,,,,
Annual and Perennial Grasses,"Annual grass, Perennial grass",Weed,,,24,CLETHODIM 2EC Herbicide; LPI Clethodim,,,,,,
Annual and perennial grasses,"Annual grass, Perennial grass",Weed,,,154,Clefandim 360 EC; EPTC 7 EC Herbicide; AGRISEL GRASSOUT MAX HERBICIDE; EPTAM 7E; AGH19012,,,,,,
Annual and Perennial Grasses and Herbaceous Weeds,"Annual grass, Perennial grass, Herbacious",Weed,,,9,Diuron 4L Herbicide,,,,,,
Annual and perennial grasses and herbaceous weeds,"Annual grass, Perennial grass, Herbacious",Weed,,,36,Diuron 4L; Alligare Diuron 80DF; Liberty Diuron 80DF; Diuron 80DF; Liberty Diuron 4SC,,,,,,
Annual and Perennial Weeds,"Annual, Perennial",Weed,,,43,RT4790 Herbicide; ClearOut Prompt,,,,,,
Annual and perennial weeds,"Annual, Perennial",Weed,,,559,Casoron 4G; Alligare Diuron 80DF; AFG PLUS; Buccaneer Plus Glyphosate Herbicide; Credit,,,,,,
annual and perennial weeds,"Annual, Perennial",Weed,,,22,GLYPEX,,,,,,
Annual Bluegrass,Annual bluegrass,Weed,,,1,PRE-SAN 7G,,,,,,
Annual bluegrass,Annual bluegrass,Weed,,,32,BIATHLON; Gly-4 Herbicide; FreeHand 1.75G Herbicide; Rim 25 Herbicide,,,,,,
annual bluegrass,Annual bluegrass,Weed,,,8,Quali-Pro Dithiopyr L,,,,,,
Annual Bluegrass Weevil (adult),Annual Bluegrass Weevil,Insect,,,4,Ortho ZBP Granules,,,,,,
Annual broadleaf and grass weeds,"Annual broadleaf, Annual grass",Weed,,,84,Oxon Italia Sim-Trol 4L Simazine Flowable Herbicide; Princep® 4L; SIMAZINE 4L; Firehawk Bioherbicide Concentrate; Princep Caliber 90 Herbicide,,,,,,
Annual broadleaf and grassy weeds,"Annual broadleaf, Annual grass",Weed,,,18,FLUMIOXAZIN 0.125% + FERTILIZER; V-53482 0.17G,,,,,,
Annual Broadleaf Weeds,Annual broadleaf,Weed,,,142,Devrinol 3.75 SC Selective Herbicide; Axill Solutions Mesotrione 4SC; DEVRINOL 10-G; ECO-GUARDIAN WEED KILLER; DEVRINOL 2-EC,,,,,,
Annual Broadleaf weeds,Annual broadleaf,Weed,,,29,Drexel Me-Too-Lachlor MTZ; DREXEL SIMAZINE 4L,,,,,,
Annual broadleaf weeds,Annual broadleaf,Weed,,,303,"A313.02 (Stark Ultra); AquaNeat Herbicide; 2,4-D Amine 4; 2,4-D AMINE 4; 2,4-D AMINE 6",,,,,,
annual Broadleaf weeds,Annual broadleaf,Weed,,,12,DREXEL SIMAZINE 4F,,,,,,
annual broadleaf weeds,Annual broadleaf,Weed,,,29,"Alligare 2,4-D Amine; 2,4-D Ester 6; Avalaire 2,4-D Amine; DMA 6 Weed Killer; Lektor",,,,,,
Annual broadleaf weeds (suppression),Annual broadleaf,Weed,,,1,LPI.A040,,,,,,
Annual Broadleaves,Annual broadleaf,Other,,,5,Avalaire S-Moc + MTZ; Lebanon Green Gold Garden Weed Preventer,Review needed - unclear target type,,,,,
Annual broadleaves,Annual broadleaf,Other,,,1,Gly-4 Herbicide,Review needed - unclear target type,,,,,
Annual grass,Annual grass,Weed,,,24,NUP-18013,,,,,,
Annual grass and broadleaf weeds,"Annual broadleaf, Annual grass",Weed,,,27,Cornerstone; BroadStar Herbicide; NNH-950-4 Herbicide,,,,,,
annual grass and broadleaf weeds,"Annual broadleaf, Annual grass",Weed,,,6,RegalKade,,,,,,
annual grass and small-seeded broadleaf weeds,"Annual grass, Small-seeded broadleaf",Weed,,,3,StriCore Herbicide,,,,,,
Annual grass species,Annual grass,Weed,,,5,EH 951 Grass Herbicide,,,,,,
Annual grass weeds,Annual grass,Weed,,,131,AG36448-B 2 EC Herbicide; Crab-Buster™ 2 FG; Brake; Diuron 80DF; Clethodim 2 EC Herbicide,,,,,,
annual Grass weeds,Annual grass,Weed,,,12,DREXEL SIMAZINE 4F,,,,,,
annual grass weeds,Annual grass,Weed,,,27,Turf Fertilizer - Contains Team Pro 0.86%; HALOSULFURON 75WDG HERBICIDE; A304.01; NOROSAC 4G Dichlobenil Granules,,,,,,
Annual Grasses,Annual grass,Weed,,,223,Avalaire S-Moc + MTZ; Devrinol 3.75 SC Selective Herbicide; DEVRINOL 10-G; ARY 0411-004 HERBICIDE; DEVRINOL 2-EC,,,,,,
Annual grasses,Annual grass,Weed,,,1510,ACETO TRIFLURAN 4 EC HERBICIDE; A335.11; A379.01; Aceto Trifluralin EC Herbicide; ALBAUGH TRIFLURALIN 10G,,,,,,
annual grasses,Annual grass,Weed,,,248,0.20% Dimension; AX M-CHLOR CEC; Charger Basic; ACETO TRIFLURALIN 4 E HERBICIDE; AX Trifluralin 4EC Herbicide,,,,,,
Annual grasses and broadleaf weeds,"Annual broadleaf, Annual grass",Weed,,,52,GCS Metola Plus 8EC; LPI.A022; Alion Complete Herbicide; Dithiopyr 0.1% Plus Fertilizer; OX G HERBICIDE,,,,,,
Annual grasses and certain broadleaf weeds,"Annual broadleaf, Annual grass",Weed,,,38,LPI.A022; AX M-CHLOR C; PIN-DEE 3.3 EC; HELMET; Omni Brand Pendimethalin 3.3 EC,,,,,,
Annual grasses and herbaceous weeds,"Annual grass, Herbacious",Weed,,,8,Liberty Diuron 4SC,,,,,,
Annual grasses and sedges,"Annual grass, Sedges",Weed,,,12,MOCCASIN MTZ Herbicide,,,,,,
Annual grasses and small-seeded broadleaf weeds,"Annual grass, Small-seeded broadleaf",Weed,,,5,A335.02,,,,,,
Annual grassy and broadleaf weeds and certain perennial weeds,"Annual grass, Annual Broadleaf, Perennial Grass, Perennial Broadleaf",Weed,,,5,Lilly Miller Casoron Granules,,,,,,
Annual grassy weeds,Annual grass,Weed,,,4,Sharda Diuron 80% WDG; Quali-Pro Oxadiazon SC,,,,,,
Annual sedge,Annual Sedge,Weed,,,5,FreeHand 1.75G Herbicide,,,,,,
Annual Sedges,Annual Sedge,Weed,,,1,Specticle 20WSP Herbicide,,,,,,
Annual sedges,Annual Sedge,Weed,,,18,Specticle FLO; INDAZIFLAM G; INDAZIFLAM 74SC; A307.02; MARENGO,,,,,,
annual sedges,Annual Sedge,Weed,,,18,Bentazon 4; Basagran T&O Herbicide; BROADLOOM HERBICIDE; Willowood Bentazon 4; LPI.A037,,,,,,
Annual Smartweed,Annual Smartweed,Weed,,,1,"2,4-D Granules",,,,,,
Annual Sowthistle,Annual sowthistle,Weed,,,11,Avalaire Clopyralid 3 SL; GCS Clopy 360SL,,,,,,
Annual sowthistle,Annual sowthistle,Weed,,,24,Spin-Aid Herbicide; CLOPYR AG; A339.01; LIBERTY CLOP; Clopyralid,,,,,,
annual sowthistle,annual sowthistle,Weed,,,12,GF-1966; GF-2551,,,,,,
Annual Sowthistle (suppression),Annual sowthistle,Weed,,,1,Avalaire Clopyralid 3 SL,,,,,,
Annual sowthistle (suppression),Annual sowthistle,Weed,,,1,LIBERTY CLOP,,,,,,
annual sowthistle (suppression),Annual sowthistle,Weed,,,1,GF-1966,,,,,,
Annual spurge,Annual spurge,Other,,,15,Gly-4 Herbicide; FreeHand 1.75G Herbicide,Review needed - unclear target type,,,,,
Annual Weeds,Annual Weeds,Weed,,,59,GlySupreme 75-WDG; DuPont ABUNDIT Edge herbicide; EH-1394 Herbicide; Morale 80 WDG,,,,,,
Annual weeds,Annual Weeds,Weed,,,1420,1386 Residential Herbicide; AgSaver Glyphosate 41% Plus; ALENZA GLYPHOSATE PLUS; Alligare Diuron 4L; AGSAVER GLYPHOSATE 53.8%,,,,,,
annual weeds,Annual Weeds,Weed,,,13,Diuron 80 DF,,,,,,
Annual Weeds and Grasses,"Annual Weeds, Annual grass",Weed,,,54,Bonide KU GR Concentrate,,,,,,
Annual weeds and grasses,"Annual Weeds, Annual grass",Weed,,,28,Bonide KU GR RTU; Glyfos Concentrate 41% Weed & Grass Killer; Carpetmaker X-X-X with 1% Ronstar Herbicide; Glyfos Concentrate 27% Weed & Grass Killer,,,,,,
Annual weeds and perennial grasses,"Annual Weeds, Perennial grass",Weed,,,1,Tide Diuron 80WDG,,,,,,
Anoda,Anoda,Other,,,34,AX FOMESAFEN 2 SL; Biscayne Herbicide; Avalaire Fomesafen 1.88 SL; A383.03; A335.05,Review needed - unclear target type,,,,,
Anoda cristata,Anoda cristata,Other,,,8,F6285 4F CAL Herbicide,Review needed - unclear target type,,,,,
Ant species,Ants,Insect,,,7,Endigo® ZC; Kilter Insecticide; Endigo® ZCX,,,,,,
Anthemis cotula,Anthemis cotula,Insect,,,8,F6285 4F CAL Herbicide,,,,,,
Anthracnose,Anthracnose,Insect,,,3169,3 LB. COPPER FLOWABLE FUNGICIDE; 26/36 Fungicide; 3336 EG; 3336 70EG; 3336 F,,,,,,
anthracnose,Anthracnose,Insect,,,14,Dithane F-45; Bravo 825 Agricultural Fungicide; Captan 80 WDG; Dithane M45; A299.01,,,,,,
Anthracnose (Colletotrichum acutatum),Anthracnose,Insect,,Colletotrichum acutatum,10,PHC 25279,,,,,,
Anthracnose (Colletotrichum dematium and Microdochium panattonianum),Anthracnose,Insect,,"Colletotrichum dematium, Microdochium panattonianum",2,PHC 25279,,,,,,
Anthracnose (Colletotrichum gloeosporioides),Anthracnose,Insect,,Colletotrichum gloeosporioides,8,PHC 25279,,,,,,
Anthracnose (Colletotrichum higginsianum),Anthracnose,Insect,,Colletotrichum higginsianum,1,Revus Top,,,,,,
Anthracnose (Colletotrichum orbiculare,Anthracnose,Insect,,Colletotrichum orbiculare,2,PHC 25279,,,,,,
Anthracnose (Colletotrichum orbiculare),Anthracnose,Insect,,Colletotrichum orbiculare,1,Revus Top,,,,,,
Anthracnose (Colletotrichum prunicola,Anthracnose,Insect,,Colletotrichum prunicola,3,HELMSTAR PLUS SC,,,,,,
Anthracnose (Colletotrichum spp.),Anthracnose,Insect,,Colletotrichum spp.,3,EQUUS DF; Revus Top,,,,,,
Anthracnose (Colletotrichum truncatum),Anthracnose,Insect,,Colletotrichum truncatum,4,PHC 25279,,,,,,
Anthracnose (Colletotrichum),Anthracnose,Insect,,Colletotrichum spp.,1,Quali-Pro™ 4.5,,,,,,
Anthracnose (Elsinoe ampelina),Anthracnose,Insect,,Elsinoe ampelina,1,Revus Top,,,,,,
Anthracnose (Elsinoe spp.),Anthracnose,Insect,,Elsinoe spp.,1,Avalaire Myclobutanil 40 WSP,,,,,,
anthracnose (Elsinoe spp.),Anthracnose,Insect,,Elsinoe spp.,1,Ax Myclobutanil 40WSP,,,,,,
Anthracnose (Glomerella cingulata),Anthracnose,Insect,,Glomerella cingulata,1,HELMSTAR PLUS SC,,,,,,
Anthracnose (Gnomonia leptostyla),Anthracnose,Insect,,Gnomonia leptostyla,2,Propiconazole Fungicide; Bumper 14.3 EC,,,,,,
Anthracnose (Ripe rot),Anthracnose (Ripe rot),Insect,,,1,Chlorothalonil 720,,,,,,
Anthracnose (ripe rot),Anthracnose (Ripe rot),Insect,,,10,AX FLUAZINAM; Bravo 825 Agricultural Fungicide; A228.03; Chlorothalonil 720 Select; Bravo Zn,,,,,,
Anthracnose (suppression),Anthracnose,Insect,,,2,A23089 Fungicide,,,,,,
Anthracnose Blossom Blight/Brown Rot,Anthracnose Blossom Blight/Brown Rot,Insect,,,1,EQUUS DF,,,,,,
Anthracnose blue mold,Anthracnose blue mold,Insect,,,1,NEU1140F Copper Soap,,,,,,
Anthracnose Fruit Rot,Anthracnose Fruit Rot,Insect,,,91,A23089 Fungicide; A225.09; A-Zox 50WDG; A225.13; A21461 Crop,,,,,,
Anthracnose fruit rot,Anthracnose Fruit Rot,Insect,,,46,BC18-WG; A225.05; CX-9030; Captan 50-W; Cueva 2.4 Copper Soap,,,,,,
Anthracnose Fruit rot (Colletotrichum acutatum),Anthracnose Fruit Rot,Insect,,Colletotrichum acutatum,1,Captan 4L,,,,,,
Anthracnose fruit rot (Colletotrichum spp.),Anthracnose Fruit Rot,Insect,,Colletotrichum spp.,4,Drexel Kaptan 50W; DREXEL 80% CAPTAN; DREXEL CAPTAN 80 EDF; Drexel Captan 4L Fungicide,,,,,,
Anthracnose Fruit Rot (Ripe Rot),Anthracnose (Ripe rot),Insect,,,1,Ziram 76DF Fungicide,,,,,,
Anthracnose Fruit Rot and Leaf Spot,"Anthracnose Fruit Rot, Anthracnose Leaf Spot",Insect,,,5,BioLink Fungicide PLUS,,,,,,
Anthracnose leaf & fruit rot,"Anthracnose Fruit Rot, Anthracnose Leaf Spot",Insect,,,3,VEGGIETURBO 5SC,,,,,,
Anthracnose Leaf and Fruit Rot,"Anthracnose Fruit Rot, Anthracnose Leaf Spot",Insect,,,1,Endorse Water Dispersible Granules,,,,,,
Anthracnose leaf and Fruit rot,"Anthracnose Fruit Rot, Anthracnose Leaf Spot",Insect,,,5,ENDORSE Water Dispersible Granules,,,,,,
Anthracnose leaf and fruit spot,"Anthracnose Fruit Rot, Anthracnose Leaf Spot",Insect,,,3,NEU1140F Copper Soap,,,,,,
Anthracnose Leaf Blight,Anthracnose Leaf Blight,Insect,,,1,ARMOUR-Zen 15%,,,,,,
Anthracnose leaf spot,Anthracnose leaf spot,Insect,,,2,Postiva,,,,,,
Anthracnose ripe rot,Anthracnose (Ripe rot),Insect,,,2,Tilt Bravo SE; Echo 720,,,,,,
Anthracnose rot,Anthracnose rot,Insect,,,1,Carb-O-Nator,,,,,,
Anthracnose spp.,Anthracnose spp.,Insect,,,4,Fungi-Phite,,,,,,
anthracnose),Anthracnose,Insect,,,2,Carb-O-Nator,,,,,,
Ants,Ants,Insect,,,455,Adama Lambda CY VC 223; A115.04; A115.02; A145.01; Actylis Lambda-Cy Insecticide,,,,,,
ants,Ants,Insect,,,18,CHA 1525-03; LIBERTY LAMBDA 2 ME; Chemsico Insecticide Concentrate 16L; Meth-O-Gas 100; CHA 1550-03,,,,,,
Ants (except carpenter ants,Ants,Insect,,,5,Drexel Carbaryl 2% Bait/Granule,,,,,,
Ants (except fire,Ants,Insect,,,1,Agri-Flex Miticide/Insecticide,,,,,,
Ants (except Fire Ants,Ants,Insect,,,16,Synergy Brand,,,,,,
Ants (except fire ants,Ants,Insect,,,4,"GET-A-BUG® Snail, Slug & Insect Killer",,,,,,
Ants (except harvester ants,Ants,Insect,,,6,The Andersons 8.0% Granular Carbaryl,,,,,,
Ants (Excluding Carpenter,Ants,Insect,,,3,MGK 74731,,,,,,
Ants (excluding Carpenter,Ants,Insect,,,8,ACENTHRIN INSECTICIDE; AVATAR® PLX,,,,,,
Ants (excluding carpenter,Ants,Insect,,,21,Real-Kill Rose & Garden Insect Spray II,,,,,,
Ants (excluding Fire,Ants,Insect,,,3,Diafil® 610,,,,,,
Ants (excluding fire,Ants,Insect,,,1,Acephate® 97UP Insecticide,,,,,,
Ants (excluding fire and Pharaoh ants),Ants,Insect,,,2,Envi EC-X Emulsifiable Concentrate Insecticide; LYNX EC 1.4,,,,,,
Ants (excluding fire ants,Ants,Insect,,,22,Sulfur/Pyrethrins Fungicide/Insecticide RTU; Sevin 5 Bait,,,,,,
Ants (excluding Harvester,Ants,Insect,,,2,Lambdastar Insecticide,,,,,,
Ants (including Imported fire ants and harvester ants),Ants,Insect,,,1,Drexel Acephate 75 WSP,,,,,,
Ants (on foliage),Ants,Insect,,,6,LEVERAGE 360 Insecticide; Tombstone Helios; A177.04; HM-1508 INSECTICIDE,,,,,,
Apache cicada,Apache cicada,Other,,,6,MGK 74731; MGK® 74721,Review needed - unclear target type,,,,,
Aphanomyces,Aphanomyces,Other,,,3,TERRASTAT 22-S; Perasan OG; TERRASTAT 1522-S,Review needed - unclear target type,,,,,
Aphanomyces spp.,Aphanomyces,Other,,,2,QST 713 FS; SERENADE ASO,Review needed - unclear target type,,,,,
Aphid,Aphids,Insect,,,180,AVATAR® PLX; ACENTHRIN INSECTICIDE; A177.04; BONIDE BONTOX MULTI-PURPOSE INSECTICIDE CONCENTRATE; Ax Zeta-Cyper 915,,,,,,
aphid,Aphids,Insect,,,10,Permethrin .25% Dust; Surround WP Agricultural Crop Protectant; Transform WG,,,,,,
